"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
" ### [Cart] Add Multiple Items & Purchase Limit Handling
 **Objective:** Verify quantity management in the cart and handle products with purchase limits.
 
 **Test Steps:**
 1. **Set Quantity:** Input a specific number of units from the DataProvider.
 2. **Action:** Attempt to add the bulk quantity to the cart.
 3. **Logic Handling:** - If the product is limited to 1, skip the verification to avoid false failure.
     - Otherwise, verify the cart count increases by the specified amount.
     
 **Expected Result:** Cart quantity matches the sum of existing items and newly added units.
 ","30109","TC3: Add 3 units of 'Nước hoa nữ' to Cart","Hasaki.vn Regression Suite","Mon Feb 23 16:50:56 UTC 2026","passed","Mon Feb 23 16:51:26 UTC 2026","testcases.ProductDetailTest","Regression Test - Edge","testcases.ProductDetailTest","ProductDetail_addMultipleUnits"
"### [Cart] Add Single Item to Cart
**Objective:** Verify that the cart quantity increases correctly when adding one unit.

**Test Steps:**
1. **Pre-check:** Capture the current items count in the mini-cart.
2. **Action:** Click ""Add to Cart"" and verify the success popup appears.
3. **Sync Check:** Close the popup and re-verify the cart quantity.

**Expected Result:** The cart badge must increase by exactly (+1) unit.
","22700","TC2: Add Single Product 'Nước hoa nữ' to Cart","Hasaki.vn Smoke Suite","Mon Feb 23 17:19:39 UTC 2026","passed","Mon Feb 23 17:20:02 UTC 2026","testcases.ProductDetailTest","Smoke Test - Chrome","testcases.ProductDetailTest","ProductDetail_addSingleUnit"
"### [Data-Driven] Search Accuracy & Matching Rate
**Objective:** Validate search engine quality by calculating the matching rate of results against expected keywords.

**Test Steps:**
1. **Dynamic Search:** Execute search using keywords and types from Excel.
2. **First Page Audit:** Calculate matching percentage for the initial result set.
3. **Deep Pagination:** Traverse through all available pages to compute the ""Global Accuracy Rate"".
4. **Threshold Validation:** Compare final rate against the defined expected percentage.

**Target:** Ensure search results remain relevant across multiple pages.
","39775","TC2 Verify broad match key word","Hasaki.vn Regression Suite","Mon Feb 23 16:42:59 UTC 2026","passed","Mon Feb 23 16:43:39 UTC 2026","testcases.SearchTest","Regression Test - Chrome","testcases.SearchTest","search_verifyResultsAccuracyWithMultipleKeywords"
"### [E2E] Financial Synchronization (Price Integrity)
**Objective:** Verify that the final total price calculated in the Cart matches exactly with the value on the Checkout page.

**Test Steps:**
1. **Bulk Purchase:** Add a variety of items to the cart to create a complex pricing scenario.
2. **Cart Pricing:** Capture the `totalPriceInCart` as the source of truth.
3. **Checkout Verification:** Compare the source price against the `totalPriceInCheckout` after the page transition.

**Target:** Prevent any pricing discrepancies errors during the final steps of the flow.
","50741","TC4: Verify E2E Flow - Shopping Cart & Checkout Total Price","Hasaki.vn Regression Suite","Mon Feb 23 16:57:10 UTC 2026","passed","Mon Feb 23 16:58:01 UTC 2026","testcases.CheckoutTest","Regression Test - Chrome","testcases.CheckoutTest","CheckoutTest_verifyGrandTotalMatchWithCart"
"### [E2E] Item List Migration & Integrity (Cart to Checkout)
**Objective:** Ensure that all products added to the cart are accurately carried over to the Checkout stage without data loss.

**Test Steps:**
1. **Data Acquisition:** Dynamically search and add multiple items from Data provider to the cart.
2. **Cart Snapshot:** Extract a detailed list of products (Name, SKU, Price) using the `ProductModel` POJO.
3. **Deep Comparison:** Transition to Checkout and perform a 1-on-1 comparison between the Cart List and Checkout List.

**Target:** Guarantee 100% data integrity for product metadata throughout the purchase journey.
","47991","TC3: E2E Flow - Item List Integrity (Cart -> Checkout)","Hasaki.vn Regression Suite","Mon Feb 23 16:58:04 UTC 2026","passed","Mon Feb 23 16:58:52 UTC 2026","testcases.CheckoutTest","Regression Test - Edge","testcases.CheckoutTest","CheckoutTest_verifyItemListIntegrityAfterCheckout"
"### [UI] Product Detail Page Check
**Objective:** Verify that the Product Detail Page (PDP) displays the correct information and is ready for interaction.

**Test Steps:**
1. **Navigation:** Search and navigate to the PDP of a specific product.
2. **URL & Identity:** Verify the page URL and ensure the product name contains the correct keyword.
3. **Availability:** Confirm the ""Add to Cart"" button is visible and enabled.

**Expected Result:** PDP loads fully with accurate product data and an active purchase button.
","19905","TC1: Verify UI for product 'Son thỏi LIP ON LIP'","Hasaki.vn Smoke Suite","Mon Feb 23 17:18:30 UTC 2026","passed","Mon Feb 23 17:18:50 UTC 2026","testcases.ProductDetailTest","Smoke Test - Chrome","testcases.ProductDetailTest","ProductDetail_VerifyUI"
"### [Cleanup] Delete Existing Address
**Objective:** Ensure the system can remove an address from the user's account.

**Test Steps:**
1. **Locate Target:** Identify the address to be deleted by Name and Address string.
2. **Execution:** Click delete and confirm the removal.
3. **Post-check:** Verify the address no longer exists in the list.

**Expected Result:** The targeted address is completely removed from the UI and system.
","18587","Delete Address of 'Trương Ngọc A'","Environment Cleanup","Thu Feb 26 15:41:11 UTC 2026","passed","Thu Feb 26 15:41:30 UTC 2026","testcases.MyAddressTest","Cleanup environment before test - MS EDGE","testcases.MyAddressTest","MyAddress_verifyDeleteAddress"
"### [Data-Driven] Login Functionality Scenarios
**Objective:** Execute multiple login test cases automatically using data from Excel/POJO.

**Test Scenarios:**
- **Positive Case:** Login with valid account.
- **Empty Fields:** Leave Email or Password blank to check error messages.
- **Invalid Format:** Enter email without '@' or wrong format.
- **Security & Boundary:** Check wrong passwords and trailing spaces.

**Data Source:** LoginModel (Dynamic Data Provider).
","2155","TC2: Leave the email, password blank","Hasaki.vn Regression Suite","Mon Feb 23 16:40:23 UTC 2026","passed","Mon Feb 23 16:40:25 UTC 2026","testcases.LoginTest","Regression Test - Chrome","testcases.LoginTest","login_verifyMultipleAuthenticationScenarios"
"### [Cart] Add Single Item to Cart
**Objective:** Verify that the cart quantity increases correctly when adding one unit.

**Test Steps:**
1. **Pre-check:** Capture the current items count in the mini-cart.
2. **Action:** Click ""Add to Cart"" and verify the success popup appears.
3. **Sync Check:** Close the popup and re-verify the cart quantity.

**Expected Result:** The cart badge must increase by exactly (+1) unit.
","23131","TC2: Add Single Product 'Son thỏi' to Cart","Hasaki.vn Smoke Suite","Mon Feb 23 17:20:05 UTC 2026","passed","Mon Feb 23 17:20:28 UTC 2026","testcases.ProductDetailTest","Smoke Test - Edge","testcases.ProductDetailTest","ProductDetail_addSingleUnit"
"### [Navigation] Search to Product Detail
**Objective:** Ensure the user can reach the correct Product Detail Page (PDP) from the search results.

**Test Steps:**
1. **Search:** Input specific keyword and brand.
2. **Selection:** Click on the first product in the results list.
3. **Data Sync:** Verify that the PDP displays the correct Product Name and Brand.

**Expected Result:** Smooth transition from Search to PDP with 100% data consistency.
","4824","TC7 Search & Navigate: [rửa mặt] [cerave]","Hasaki.vn Smoke Suite","Mon Feb 23 17:15:53 UTC 2026","passed","Mon Feb 23 17:15:58 UTC 2026","testcases.SearchTest","Smoke Test - Chrome","testcases.SearchTest","search_verifyNavigationToProductDetail"
"### [Negative] Missing Phone Number Validation
**Objective:** Verify that the system prevents saving an address when the phone number is missing.

**Test Steps:**
1. **Incomplete Input:** Fill in all address details but leave the Phone Number field empty.
2. **Submit:** Attempt to save the address.
3. **Validation:** Capture and check the specific error message.

**Expected Result:** System blocks the submission and displays a clear ""Required"" warning for the phone field.
","44410","TC3: Validate error message when phone is blank","Hasaki.vn Regression Suite","Mon Feb 23 16:44:53 UTC 2026","passed","Mon Feb 23 16:45:37 UTC 2026","testcases.MyAddressTest","Regression Test - Edge","testcases.MyAddressTest","MyAddress_validationLeavePhoneNumberBlank"
"### [Logic] Calculation Accuracy & Pricing Audit
**Objective:** Validate that the system calculates subtotals and the grand total without any discrepancies.

**Test Steps:**
1. **Data Collection:** Scan all items currently present in the cart.
2. **Subtotal Audit:** Calculate (Price * Quantity) for each product and compare with the system's subtotal.
3. **Grand Total Check:** Cross-check the sum of subtotals against the displayed Grand Total Price.

**Target:** Ensure 100% pricing accuracy and catch potential rounding errors.
","57769","TC2: Logic Check - Pricing Calculation","Hasaki.vn Smoke Suite","Mon Feb 23 17:21:06 UTC 2026","passed","Mon Feb 23 17:22:04 UTC 2026","testcases.CartTest","Smoke Test - Edge","testcases.CartTest","CartTest_CalculationCheck"
